year,city,country,avg_temp
1849,Lagos,Nigeria,25.98
1850,Lagos,Nigeria,25.87
1851,Lagos,Nigeria,26.10
1852,Lagos,Nigeria,
1853,Lagos,Nigeria,
1854,Lagos,Nigeria,
1855,Lagos,Nigeria,
1856,Lagos,Nigeria,26.35
1857,Lagos,Nigeria,25.45
1858,Lagos,Nigeria,25.92
1859,Lagos,Nigeria,26.18
1860,Lagos,Nigeria,26.01
1861,Lagos,Nigeria,25.95
1862,Lagos,Nigeria,25.90
1863,Lagos,Nigeria,
1864,Lagos,Nigeria,
1865,Lagos,Nigeria,
1866,Lagos,Nigeria,
1867,Lagos,Nigeria,
1868,Lagos,Nigeria,
1869,Lagos,Nigeria,
1870,Lagos,Nigeria,
1871,Lagos,Nigeria,
1872,Lagos,Nigeria,
1873,Lagos,Nigeria,26.46
1874,Lagos,Nigeria,26.08
1875,Lagos,Nigeria,25.82
1876,Lagos,Nigeria,25.82
1877,Lagos,Nigeria,26.35
1878,Lagos,Nigeria,26.26
1879,Lagos,Nigeria,25.67
1880,Lagos,Nigeria,26.14
1881,Lagos,Nigeria,26.39
1882,Lagos,Nigeria,26.01
1883,Lagos,Nigeria,26.42
1884,Lagos,Nigeria,26.43
1885,Lagos,Nigeria,26.01
1886,Lagos,Nigeria,25.87
1887,Lagos,Nigeria,25.09
1888,Lagos,Nigeria,25.42
1889,Lagos,Nigeria,25.34
1890,Lagos,Nigeria,24.86
1891,Lagos,Nigeria,25.29
1892,Lagos,Nigeria,25.49
1893,Lagos,Nigeria,25.67
1894,Lagos,Nigeria,25.59
1895,Lagos,Nigeria,25.92
1896,Lagos,Nigeria,25.87
1897,Lagos,Nigeria,26.29
1898,Lagos,Nigeria,25.79
1899,Lagos,Nigeria,26.31
1900,Lagos,Nigeria,26.42
1901,Lagos,Nigeria,26.53
1902,Lagos,Nigeria,26.09
1903,Lagos,Nigeria,25.68
1904,Lagos,Nigeria,25.48
1905,Lagos,Nigeria,26.16
1906,Lagos,Nigeria,26.21
1907,Lagos,Nigeria,25.96
1908,Lagos,Nigeria,26.15
1909,Lagos,Nigeria,26.08
1910,Lagos,Nigeria,26.13
1911,Lagos,Nigeria,25.72
1912,Lagos,Nigeria,26.17
1913,Lagos,Nigeria,26.65
1914,Lagos,Nigeria,26.75
1915,Lagos,Nigeria,26.81
1916,Lagos,Nigeria,26.60
1917,Lagos,Nigeria,26.96
1918,Lagos,Nigeria,26.41
1919,Lagos,Nigeria,26.70
1920,Lagos,Nigeria,26.72
1921,Lagos,Nigeria,26.77
1922,Lagos,Nigeria,26.73
1923,Lagos,Nigeria,26.63
1924,Lagos,Nigeria,26.95
1925,Lagos,Nigeria,26.64
1926,Lagos,Nigeria,26.97
1927,Lagos,Nigeria,26.88
1928,Lagos,Nigeria,26.75
1929,Lagos,Nigeria,26.48
1930,Lagos,Nigeria,26.84
1931,Lagos,Nigeria,26.85
1932,Lagos,Nigeria,26.46
1933,Lagos,Nigeria,26.93
1934,Lagos,Nigeria,26.89
1935,Lagos,Nigeria,26.90
1936,Lagos,Nigeria,26.66
1937,Lagos,Nigeria,26.96
